별점, 내용, 날짜, 좋아요, 싫어요
1, '어제 저녁 가족이랑 보고왔는데 솔직히 그저그렇다고 느껴지네요..ㅠㅠ', '2021.05.08', 7, 3
1, '기대하고 봤는데 대사 하나하나 어색하고 내용도 그닥', '2021.05.04', 7, 3
8, '평점이 높아서 낮춘다. 지루하고 공감도 별로안됨. 특히 이영화에서 윤여정의 연기가 뛰어난부분이 없는데 차라리 스티븐연이나 한예리를 상주던지 ㅋㅋ 미스테리다', '2021.05.02', 7, 3
2, '도대채 이게 뭔 내용이고 아 잼이드럽게없네이게 영화냐', '2021.04.28', 7, 3
6, '너무 재미없다. 감동? 연기력? 뭐가????', '2021.03.20', 7, 3
6, '일보고 밑안닦고 나온 듯한 결말. 연기도 그닥... 내가 뭘 본거지?', '2021.03.20', 7, 3
10, '배우의 연기력은 돋보이나 탄탄한 전개는 아닌 듯! 외국인의 입장에서는 어쩔지 모르나 한국인의 입장에서는 큰 감동을 주는 영화는 아닌 듯! 그러나 축하할 일!', '2021.03.15', 7, 3
8, '터무니없는 국뽕에 빠져서 허우적거리지 말자', '2021.03.07', 7, 3
8, '하.. 기대가 컸다 정말..', '2021.03.03', 7, 3
8, '이 영화의 진 교훈 : 앞으로 모든 예술작품은(문학영화 음악 미술 등) 서구인의 시각에서 아직 나오지 않은 테마를 선정해야 히트한다. 서구인에겐 아직 생소했으니 마치 프랑스 예술영화처럼 잔잔한 울림이 있었겠지....', '2021.03.03', 7, 3
1, '이영화는 미국인들만 좋아하는것 같어요. 뭔 작품성은 ㅜ이것도 영화라고 ㅜ', '2021.04.26', 8, 4
8, '미국이 배경이지만 한국정서가 많이 느껴졌어요~ 아역배우들도 연기 잘하고 귀여워요 ^^ 영화보는 내내 긴장하지않아도 되고 뭔가 편안한 느낌이 들어 좋았어요~ 그런데 끝 마무리가 ;;; 잉?! 으로 끝나서 별 하나 뺐어...', '2021.04.23', 8, 4
1, '이 영화는 이민자 스토리 다룬 프리미엄이 매우 존나 크다. 쓰뢔기 수준의 대사분량과 스토리 소문난 잔치에 상차림도 안된 수준', '2021.03.08', 8, 4
1, '외국에서 상받았다고 평점이 높아야되는것은 아니다. 아무리 힘들고 모든게 불이타도 미나리처럼 우리는 살아간다? 이건뭐 개연성도 없고 감동도 없고. 영상미는 좋드라~~', '2021.03.07', 8, 4
1, '내돈내고 본 2021 최악... ㅡㅡ', '2021.03.07', 8, 4
1, '영상미는 좋우나 기대 이하였습니다', '2021.03.06', 8, 4
1, '유명해서 유명한 영화. 이제 제발 무슨상 수상 이런거에 난리 좀 그만 쳤으면..', '2021.03.06', 8, 4
9, '그냥그랬고.... 보고나니 답답하네요', '2021.03.08', 9, 5
1, '생각보다밋밋한스토리...', '2021.03.08', 9, 5
1, '손자가 할머니를 마음으로 받아들여가는 과정은 당연하고 진부하여도 감동적이었습니다.한국적 또 미국적 가치관 / 종교 또 비종교인의 가치관 / 가족의 유대 또는 개인의 성취 등 여러 가치관이 어지럽게 혼재하는 어려움 그...', '2021.03.07', 9, 5
9, '전 배우들의 연기와 영상미가 아름다웠던듯... 그러나 스토리가 잔잔하고 인물간의 갈등이 그 안에 깔려있는 사랑이 보여서인지 결말을 짐작할수 있는 가족영화같아보여서인지... 크다고 느껴지지 않았어요. 그러나 모든 ...', '2021.03.07', 9, 5
6, '', '2021.03.05', 9, 5
1, '', '2021.03.05', 11, 7
1, '확실히 오스카는 재미보다는 뭔가모를 어떤 특이점에 대해 평을 내리는거 같다. 사실 우리나라가 아무리 가부장적이라 해도 저런식으로 마치 일본풍으로 가부장적이진 않았다. 그림은 한국이민가족 이야기인데. 보면 뭔가모를 일...', '2021.03.04', 11, 7
7, '잔잔한 울림 신파가 아닌 담백한 연출이 좋았다.', '2021.03.03', 12, 8
10, '감독 뭘말하고 싶은거냐?', '2021.03.04', 29, 25
7, '개인적으로는 재미없었네요...', '2021.07.06', 3, 0
3, '코엑스 메가박스에서 보는데 옆자리에 앉은 아줌마 두명이 마스크 벗고 전혀 웃기지 않은 장면에서 계속 깔깔거리며 웃는데 주먹으로 코를 갈기고 싶었다', '2021.06.28', 3, 0
2, '큰상받은 영화라고 해서 많이 기대하고 봤었어요... ....코로나시작하고 영화관에 처음 가본거였는데.........', '2021.06.25', 3, 0
6, '이정도 스토리 가지고 영화 찍은 강심장 보소. 배우의 표정 이걸로 영화 만든게 다다.', '2021.05.23', 3, 0
9, '공감능력을 가진 관객이라면 가슴먹먹함에 엔딩 크레딧 에 쉽게 일어나지 못할거 같아요.한예리의 연기도 훌륭하고특히 윤여정님의 눈빛이 잊혀지지가 않습니다....연출면에서 감정선을 매끄럽게 이어나가고 있다는 느낌이 들지않...', '2021.05.19', 3, 0
2, '평점이 높은 이유를 모르겠어요...', '2021.05.09', 3, 0
2, '넘버원! 1점 드립니다^^', '2021.05.06', 3, 0
6, '새 시대의 미국 영화. 어디에도 속하지 않는 이들은 소속감을 스스로 만들어내야 한다. 이민자들을 위한 영화이기 때문에 우리는 크게 감동하지 못할 수도 있다. 하지만 분명 좋은 영화.', '2021.05.05', 3, 0
8, '힘들었던 우리집 이야기', '2021.05.03', 3, 0
2, '무슨 감동? 어디서 ? 상 받았다고 요란을 떠는 영화는하나같이 전혀 아니올시다가 정답인게알바들이 올린 평점보고 혹해서 가질 마시길.', '2021.05.01', 3, 0
4, '상대적이다...뭐가 서구문화에 호기심을 자극했는가...역시 윤선생은 또 그연기....', '2021.05.01', 3, 0
6, '진부할 수 있는 스토리가 담담하게 채색되어 신선함으로 다가왔다', '2021.05.01', 3, 0
6, '큰메세지가있네요~ 우리사는 이야기같습니다..', '2021.05.01', 3, 0
4, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.04.30', 3, 0
7, '미나리농사로 아메리칸드림에 성공하는 스토리를 기다렸지만 현실은 그렇지가 않아서 쓰리고 처절했다ㅠ', '2021.04.30', 3, 0
2, '영화를  너무 기대해서 그런지 ...기생충은 상 받은게  어느정도 이해가 가는데미나리는 그냥 시대적으로 얻어걸린듯하다   kbs인간극장이 더 몰입도가있다ㅠㅠ', '2021.04.29', 3, 0
4, '이거 뭐 어쩌라는 건지. 영화관에서 안 봤길 달행이지.', '2021.04.28', 3, 0
2, '할리우드 자본 영화가 아니었다면 브래드피트가 제작에 참여하지 않았다면 비서구권 연기인에 대한 의도적인 집중 현상이 없었다면... 이 영화가 이렇게까지 주목 받았을까? 과연 작품 그 자체만으로 이렇게 주목 받을만한...', '2021.04.28', 3, 0
8, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.04.28', 3, 0
4, '생각보다 별 건 없다고 느꼈다. 다만 영화 중간중간에 나오는 미국 아저씨의 말들은 위로로 다가왔다. "괜찮다." "모든 것이 잘 될거야" . 막상 힘들고 앞길이 보이지 않을 때는 옆에서 ...', '2021.04.28', 3, 0
2, '10점줘야 한국인인데 이영화는 어찌보는거죠?어디서  전세계를 뒤흔든거죠ㅜㅜ공부기필요하네요ㅜㅜ', '2021.04.28', 3, 0
6, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.04.27', 3, 0
2, '왜? 뭘? 심사위원이 수상하다. 아카데미 수준 이하란걸 알게되었다.', '2021.04.27', 3, 0
6, '생뚱맞은 결말? 이라해야하나? 후반부 개연성이 떨어진다고 해야할까? 마무리없이 그냥 똥싸다 끊은 느낌ㅡㅡ', '2021.04.27', 3, 0
4, '잔잔하지만 깊은울림이있었어요.', '2021.04.27', 3, 0
6, '내가 문제있는걸까 내가 명작을 못 알아보는 사람인가 싶었던 영화....도대체 어떤 걸 표현하고 싶었던건지..', '2021.04.27', 3, 0
6, '기대이상 봤는데  딱히  감동을  못 느꼈네요', '2021.04.26', 3, 0
4, '음...스토리가 생각보다는 그저 그랬습니다', '2021.04.26', 3, 0
4, '농장일꾼 아저씨말고 연기 잘한 배우가 없어보이는데...', '2021.04.26', 3, 0
4, '맏딸 애니가 너무 불쌍해', '2021.04.26', 3, 0
4, 'PC주의에 물든 헐리우드가 상을 그냥 주었네', '2021.04.26', 3, 0
2, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.04.25', 3, 0
2, '와 시간 아깝다ㅎ 이건아니지..', '2021.04.24', 3, 0
2, '과대평가된 영화. 연출 각본 연기 모두 아쉬운 부분이 많았다.', '2021.04.24', 3, 0
4, '미나리밭이  너무 부실...ㅋ', '2021.04.24', 3, 0
2, '그냥 한국인이 연기한 미국 영화', '2021.04.24', 3, 0
6, '연기는 연기지만 흐름이 어긋나는듯한 스토리?중간마다 포인트 는있지만 흐지부지 한거같아요', '2021.04.24', 3, 0
8, '흐미....ㅔ.이이이내..시...ㅇ...ㅣ...간...', '2021.04.16', 3, 0
4, '전반적으로 우울했다.', '2021.04.13', 3, 0
2, '일단 너무 재미없음 ㅋㅋㅋ', '2021.04.12', 3, 0
7, '영화는 별로.지루해서 졸았어요..', '2021.03.31', 3, 0
8, '영화관에서 안보길 잘했다', '2021.03.29', 3, 0
2, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.21', 3, 0
2, '윤여정 연기가 아카데미상을 줄만한건지 난 잘 모르겠다. 더 모르겠는건 십자가멘 미국 아저씨하고 결말에 왜 불난건지...미쿡인 취향인가?', '2021.03.20', 3, 0
1, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.20', 3, 0
1, '아오드럽게재미없는거 다봤네', '2021.03.20', 3, 0
10, '대체 어떻게 봐야 재밌는지 어디서 감동을 받아야할지 모르겠다', '2021.03.15', 3, 0
8, '수상 소식에 궁금해서 봤는데..연기도 스토리도 별로 감흥이 없네요.', '2021.03.13', 3, 0
8, '이민자 삶을 공감할수 없었고 그들의 아픔을 공감하기 부족했다 또한 윤여정이 보여준 연기가 수상에 버금가는지도 모르겠고 스토리 또한 잔잔해서 박진감과 스릴 넘치는 팬들에겐 아쉬움이 남겠다', '2021.03.13', 3, 0
8, '잔잔하기만하고 큰 내용 없었음..', '2021.03.10', 3, 0
6, '그냥..잔잔하고 외국과 관점차이가 심하다는걸 느꼈습니다...', '2021.03.04', 3, 0
8, '하도 언론에서 미나리에 대한 평을지나칠 정도로 관심을 보이고우리 배우가 미국에서 상후보자라해서 매스컴에서 하도 광고를 해서집에서 보게되었다.여태 한국 영화들이 보여줬던감동에 비해 크게 감동이나 좋은 영화인지 저한...', '2021.03.03', 3, 0
8, '이 영화는 이민자의 삶을 그린 미국영화라 느껴지네요. 공감도 안되고 발음도 잘 안들려서 한국판도 자막이 있었으면 할 정도였어요. 배경 세대를 떠나서 너무 일부의 이야기입니다. 오히려 동양인 미국 이민자들의 공감이 ...', '2021.03.03', 3, 0
8, '데이빗의 병이 할머니한테 옮아간걸 그린 영환가?미나리는 아무데서나 잘자라니 이사터를 잘잡았다는건가?대체 뭔내용인지..그리고 엔딩....영화관에서 실수로 내용 잘라먹은줄...', '2021.03.03', 3, 0
7, '솔직히 너무 이슈가 많이된영화 재미없다', '2021.03.03', 3, 0
10, '기대를 많이 하고 봤는데요.재미 없고 무슨 내용인지 모르겠네요', '2021.05.05', 4, 1
2, '예전부터 느낀건데 윤여정은 연기별로 마더에 김혜자연기보면 소름돋는다 한혜리연기도 힘좀 빼고하지', '2021.05.03', 4, 1
