별점, 내용, 날짜, 좋아요, 싫어요
2, '기대에 못미침에 아쉽다고 생각했는데 아뿔사 이건 미국인의 이야기였어.정서는 미국인데 주인공은 한국사람.이도저도 아닌 어색함에 공감하지 못함.나도 한국적인 뭔가를 이 영화에서 찾고 있었어.그래서 미국도 자기나라영화 아...', '2021.03.23', 20, 0
2, '연계성부족.연기력부족.부분의 완성도', '2021.03.22', 21, 1
6, '대추나무 사랑 걸렸네 비슷함 토마토 가지에 물주다가 할매 노망나서 불타고 끝 노잼 네이버 관람객 평점 쓸려면 네이버에서 예매해야만 가능하다는데 CGV는 되지도 않음 이게 더 거지같네', '2021.03.09', 27, 7
2, '영화 자체는 소소한 독립영화. 국뽕은 다른 한 편 열등감의 다른 이름일 뿐이다. 국뽕을 빼고 다시 보자. 그러면 그냥 그저 그런 평범한 이야기와 헛점 많은 독립영화 한편이 남는다. 온 국민이 열내고 아카데미 타야한다...', '2021.03.22', 30, 10
6, '데이빗 아니었음 이영화 어쩔뻔?', '2021.03.14', 36, 16
8, '너무 지루함 .... 잠올정ㄷㅗ로', '2021.03.03', 40, 20
4, '매우 지루하네요....', '2021.03.06', 97, 77
1, '연기가 오버하지 않고 담백하면서도따뜻한 감정이 전해지는 진솔한 영화 ♡', '2021.03.20', 32, 13
6, '난세상에 태어나 진짜 재미없는 영화를 보았다. 패주고싶다 미나리 극찬한 광고성 메스컴들에게..', '2021.03.06', 45, 26
6, '..내용이 그냥 당황스러워요', '2021.03.22', 33, 15
10, '내용은 알겠는데 넘 늦고 연출력 떨어짐', '2021.03.07', 34, 16
4, '영화보고나서 남편이 투덜거렸다. 영화보는 내내 시계를 들여다보더니 역시나 나오자마자 볼멘소리다. "이게 그렇게 요란떨 만한 영화야"? 솔직히 나도 약간 지루해하며 봤지만 화가 날 정도는 아니었는데 남편...', '2021.03.10', 39, 21
2, '서사가 극적이지 않아서 어디서 어떻게 반응해야 하는지 감을 못잡는 분들도 계실 것 같습니다. 하지만 저는 있는 그대로 보여주었기 때문에 느낄 수 있던 잔잔한 감동과 여운이 있었습니다. 가족이기 때문에 쉽게 서로에게 ...', '2021.03.21', 18, 1
2, '나만 별로였나...??', '2021.05.23', 25, 8
8, '기대하고 보앗지만 역시나 아무런 감흥 없엇음', '2021.03.03', 25, 8
2, '영화가 끝나고 다들 놀라는 영화', '2021.03.22', 18, 2
8, '"데이비사" 아름답고도 향긋한 가족 이야기.', '2021.03.13', 20, 4
1, '뭘 말하려는건지? 내용도 없고 감동도 없고 그냥 전원일기 미국판 보고 온 느낌.X노잼', '2021.03.21', 29, 13
8, '감동이라기보다 모두가 느껴볼수있고 겪어봄직한 감정에 대해 일상적으로 풀어나간 느낌. 부담없이 각 배역에 감정이입해볼 수 있고 끝으로 갈수록 세 어른의 위치와 갈등 감정요소들을 느낄수 있어서 스토리 후반부로 가서 비롯...', '2021.03.15', 21, 6
4, '지루하다 지루해.. 그래서 결론이 뭐임', '2021.03.24', 24, 9
4, '뭘 말하고 싶은건지는 잘 모르겠다...', '2021.03.22', 24, 9
6, '생각보다 아쉽습니다ㅠㅠ', '2021.03.07', 26, 11
6, '기대했으나 영상미bgm연기스토리감동재미 어느것 하나 눈에 띄는 부분이 없었다. 대체 왜 평점이 높은거지- 이야기의 맥락을 모르겠고 ㅠㅠ 이영화 뭘 말하고 싶은거지?', '2021.03.20', 20, 6
